AirborneEarlyWarningAircraft,airborne early warning aircraft,MilitaryAircraft
AirborneEpidemic,airborne epidemic,umbel#Diseases,InfectiousDiseaseEpidemic
Airbus,airbus,Airplane
AircraftArrestingGear,aircraft arresting gear,umbel#Products,PhysicalDevice
AircraftBlastBarrier,jet blast barrier,Barrier_ConstructionArtifact,MultiPurposeDevice,SafetyDevice
AircraftCabin,aircraft cabin,PassengerCompartment
AircraftCarrier,aircraft carrier,AircraftLandingAndTakeoffFacility,ModernNavalShip,WaterTransportationVehicle,Weapon,WeaponSystem
AircraftCrewMember,aircraft crew member,Professional_Adult
AircraftEngine,aircraft engine,Engine,PhysicalPartOfObject
AircraftHangar,hangar,TransportFacility,VehicleStorageConstruct
AircraftIndustry,aircraft industry,Industry_Localized,ManufacturingEconomicSector
AircraftLandingAndTakeoffFacility,aircraft landing and takeoff facility,PortFacility
AircraftMechanic,aircraft mechanic,Mechanic
AircraftRepairDegree,aircraft repair degree,Vocational_TechnicalDegree
AircraftRepairOrganization,aircraft repair facility,LocalOrganization,RepairAndMaintenanceOrganization,TransportationOrganization
AircraftTypeByBrand,type of aircraft by brand,ExistingObjectType,FacetInstanceCollection
Airfield,airfield,Airport_Physical
